Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 85.0.4183.121,,,2020-09-25 10:26:02,2020-09-25 10:27:24,1m - 22.677s,FAILED
,,,,,,,
Test Cases/Not success login script (wrong login_and_passord),Chrome 85.0.4183.121,,login,2020-09-25 10:26:02,2020-09-25 10:26:16,13.388s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-25 10:26:03,2020-09-25 10:26:09,5.718s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:09,2020-09-25 10:26:11,2.430s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:11,2020-09-25 10:26:12,0.633s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:12,2020-09-25 10:26:13,1.043s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""test"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:13,2020-09-25 10:26:14,0.853s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""1bLRAxlDc1c="")",Chrome 85.0.4183.121,,,2020-09-25 10:26:14,2020-09-25 10:26:14,0.679s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:14,2020-09-25 10:26:15,0.936s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:15,2020-09-25 10:26:16,0.419s,PASSED
,,,,,,,
Test Cases/Not success login script (wrong passord),Chrome 85.0.4183.121,,,2020-09-25 10:26:16,2020-09-25 10:26:27,11.279s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-25 10:26:16,2020-09-25 10:26:20,4.248s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:20,2020-09-25 10:26:22,2.152s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:22,2020-09-25 10:26:23,0.431s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:23,2020-09-25 10:26:24,1.134s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:24,2020-09-25 10:26:25,0.817s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""1bLRAxlDc1c="")",Chrome 85.0.4183.121,,,2020-09-25 10:26:25,2020-09-25 10:26:25,0.533s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:25,2020-09-25 10:26:26,0.970s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:26,2020-09-25 10:26:27,0.487s,PASSED
,,,,,,,
Test Cases/Not success login script (wrong user),Chrome 85.0.4183.121,,,2020-09-25 10:26:27,2020-09-25 10:27:09,42.594s,FAILED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-25 10:26:27,2020-09-25 10:26:32,5.030s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:32,2020-09-25 10:26:35,2.308s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:35,2020-09-25 10:26:36,0.940s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:36,2020-09-25 10:26:36,0.890s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 85.0.4183.121,,,2020-09-25 10:26:36,2020-09-25 10:26:37,0.615s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:37,2020-09-25 10:26:38,0.909s,PASSED
"check(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-25 10:26:38,2020-09-25 10:27:09,31.513s,FAILED
,,,,,,,
Test Cases/Success login script,Chrome 85.0.4183.121,,login,2020-09-25 10:27:09,2020-09-25 10:27:24,14.890s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-25 10:27:10,2020-09-25 10:27:15,4.568s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-25 10:27:15,2020-09-25 10:27:18,2.757s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-25 10:27:18,2020-09-25 10:27:19,1.151s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 85.0.4183.121,,,2020-09-25 10:27:19,2020-09-25 10:27:20,0.929s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 85.0.4183.121,,,2020-09-25 10:27:20,2020-09-25 10:27:21,1.064s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-25 10:27:21,2020-09-25 10:27:22,1.377s,PASSED
"check(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-25 10:27:22,2020-09-25 10:27:23,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-25 10:27:23,2020-09-25 10:27:23,0.402s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 85.0.4183.121,,,2020-09-25 10:27:23,2020-09-25 10:27:24,1.226s,PASSED
